WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,Load
10,236.997,2.163,235.632,23.563,1
10,236.985,2.163,235.502,23.55,1
10,236.969,2.163,235.594,23.559,1
10,236.961,2.163,235.461,23.546,1
10,236.955,2.164,235.549,23.555,1
10,236.955,2.164,235.632,23.563,1
10,236.947,2.164,235.709,23.571,1
10,236.938,2.163,235.555,23.556,1
10,236.949,2.163,235.626,23.563,1
10,236.96,2.163,235.704,23.57,1
10,236.975,2.163,235.561,23.556,1
10,236.991,2.162,235.631,23.563,1
10,237.002,2.162,235.708,23.571,1
10,237.021,2.164,235.771,23.577,1
10,237.048,2.163,235.822,23.582,1
10,237.083,2.164,235.647,23.565,1
10,237.118,2.164,235.701,23.57,1
10,237.154,2.165,235.765,23.576,1
10,237.2,2.165,235.611,23.561,1
10,237.245,2.166,235.682,23.568,1
10,237.246,2.167,235.544,23.554,1
10,237.245,2.167,235.42,23.542,1
10,237.241,2.167,235.516,23.552,1
10,237.216,2.166,235.398,23.54,1
10,237.192,2.166,235.509,23.551,1
10,237.154,2.166,235.402,23.54,1
10,237.1,2.166,235.295,23.529,1
10,237.051,2.166,235.209,23.521,1
10,237.008,2.165,235.354,23.535,1
10,236.974,2.164,235.071,23.507,1
10,237.001,2.164,235.241,23.524,1
10,237.037,2.165,235.381,23.538,1
10,237.05,2.165,235.504,23.55,1
10,237.064,2.166,235.605,23.56,1
10,237.095,2.166,235.687,23.569,1
10,237.109,2.166,235.537,23.554,1
10,237.117,2.165,235.632,23.563,1
10,237.125,2.165,235.502,23.55,1
10,237.113,2.164,235.387,23.539,1
10,237.091,2.164,235.293,23.529,1
10,237.073,2.163,235.226,23.523,1
10,237.06,2.163,235.162,23.516,1
10,237.048,2.165,235.12,23.512,1
10,237.058,2.163,235.282,23.528,1
10,237.065,2.162,235.208,23.521,1
10,237.809,2.204,240.822,24.082,2
10,237.797,2.205,240.935,24.094,2
10,237.772,2.207,240.831,24.083,2
10,237.734,2.209,240.747,24.075,2
10,237.71,2.211,240.679,24.068,2
10,237.71,2.212,240.602,24.06,2
10,237.722,2.214,240.54,24.054,2
10,237.755,2.215,240.705,24.07,2
10,237.819,2.214,240.84,24.084,2
10,237.852,2.213,240.754,24.075,2
10,237.866,2.212,240.88,24.088,2
10,237.853,2.211,240.787,24.079,2
10,237.811,2.211,240.907,24.091,2
10,237.758,2.209,240.798,24.08,2
10,237.725,2.208,240.905,24.091,2
10,237.687,2.207,241.003,24.1,2
10,237.671,2.206,240.876,24.088,2
10,237.683,2.205,240.958,24.096,2
10,237.702,2.205,241.056,24.106,2
10,237.735,2.205,241.136,24.114,2
10,237.777,2.205,240.984,24.098,2
10,237.798,2.205,240.851,24.085,2
10,237.818,2.204,240.949,24.095,2
10,237.829,2.205,241.039,24.104,2
10,237.817,2.205,240.905,24.091,2
10,237.764,2.205,240.993,24.099,2
10,237.701,2.204,241.074,24.107,2
10,237.646,2.202,240.934,24.093,2
10,237.586,2.201,240.81,24.081,2
10,237.545,2.201,240.905,24.091,2
10,237.542,2.202,241.003,24.1,2
10,237.564,2.202,241.072,24.107,2
10,237.61,2.202,241.139,24.114,2
10,237.651,2.201,240.998,24.1,2
10,237.673,2.202,240.872,24.087,2
10,237.672,2.202,240.966,24.097,2
10,237.629,2.201,240.836,24.084,2
10,237.547,2.202,240.947,24.095,2
10,237.465,2.201,240.841,24.084,2
10,237.384,2.2,240.755,24.075,2
10,237.328,2.201,240.674,24.067,2
10,237.3,2.201,240.825,24.082,2
10,237.336,2.2,240.731,24.073,2
10,237.39,2.2,240.644,24.064,2
10,237.44,2.2,240.574,24.057,2
10,237.505,2.2,240.723,24.072,2
10,237.572,2.201,240.648,24.065,2
10,237.615,2.202,240.784,24.078,2
10,237.644,2.201,240.708,24.071,2
10,237.659,2.2,240.647,24.065,2
10,237.653,2.199,240.586,24.059,2
10,237.622,2.197,240.526,24.053,2
10,237.572,2.197,240.478,24.048,2
10,237.513,2.197,240.439,24.044,2
10,237.444,2.196,240.201,24.02,2
10,237.395,2.196,240.213,24.021,2
10,237.359,2.197,240.234,24.023,2
10,237.343,2.197,240.251,24.025,2
10,237.352,2.197,240.274,24.027,2
10,237.373,2.197,240.293,24.029,2
10,237.413,2.197,240.092,24.009,2
10,237.457,2.198,240.341,24.034,2
10,237.514,2.198,240.348,24.035,2
10,237.57,2.198,240.332,24.033,2
10,237.633,2.199,240.32,24.032,2
10,237.684,2.199,240.516,24.052,2
10,237.709,2.199,240.49,24.049,2
10,237.713,2.2,240.675,24.067,2
10,237.708,2.201,240.609,24.061,2
10,237.678,2.202,240.545,24.054,2
10,237.637,2.202,240.7,24.07,2
10,237.596,2.202,240.63,24.063,2
10,237.569,2.203,240.769,24.077,2
10,237.574,2.204,240.892,24.089,2
10,237.613,2.205,240.971,24.097,2
10,237.669,2.205,241.047,24.105,2
10,237.743,2.205,241.108,24.111,2
10,237.796,2.205,241.168,24.117,2
10,237.803,2.205,241.217,24.122,2
10,237.773,2.205,241.257,24.126,2
10,237.723,2.204,241.3,24.13,2
10,237.694,2.204,241.334,24.133,2
10,237.705,2.203,241.146,24.115,2
10,237.752,2.203,241.178,24.118,2
10,237.806,2.204,241.421,24.142,2
10,237.826,2.203,241.216,24.122,2
10,237.824,2.203,241.246,24.125,2
10,237.809,2.203,241.271,24.127,2
10,237.769,2.203,241.29,24.129,2
10,237.738,2.203,241.296,24.13,2
10,237.735,2.203,241.3,24.13,2
10,237.775,2.202,241.315,24.131,2
10,237.832,2.2,241.12,24.112,2
10,237.871,2.201,241.178,24.118,2
10,237.893,2.201,241.225,24.122,2
10,237.863,2.202,241.047,24.105,2
10,237.802,2.203,241.119,24.112,2
10,237.749,2.203,240.775,24.078,2
10,237.711,2.202,240.876,24.088,2
10,237.715,2.201,240.958,24.096,2
10,237.714,2.201,241.046,24.105,2
10,237.69,2.231,245.22,24.522,3
10,237.712,2.23,245.311,24.531,3
10,237.739,2.23,245.374,24.537,3
10,237.762,2.23,245.436,24.544,3
10,237.78,2.229,245.29,24.529,3
10,237.781,2.229,245.161,24.516,3
10,237.764,2.229,245.273,24.527,3
10,237.73,2.231,245.178,24.518,3
10,237.704,2.232,245.091,24.509,3
10,237.67,2.233,245.02,24.502,3
10,237.617,2.235,244.755,24.476,3
10,237.567,2.236,244.932,24.493,3
10,237.526,2.236,245.096,24.51,3
10,237.49,2.236,244.807,24.481,3
10,237.455,2.235,244.974,24.497,3
10,237.41,2.233,244.925,24.492,3
10,237.364,2.231,244.668,24.467,3
10,237.346,2.23,244.655,24.466,3
10,237.351,2.23,244.644,24.464,3
10,237.365,2.23,244.635,24.463,3
10,237.393,2.227,244.628,24.463,3
10,237.44,2.226,244.642,24.464,3
10,237.499,2.227,244.644,24.464,3
10,237.545,2.227,244.841,24.484,3
10,237.594,2.227,244.816,24.482,3
10,237.624,2.226,244.796,24.48,3
10,237.647,2.225,244.779,24.478,3
10,237.662,2.226,244.56,24.456,3
10,237.685,2.226,244.773,24.477,3
10,237.696,2.226,244.761,24.476,3
10,237.683,2.225,244.534,24.453,3
10,237.711,2.224,244.546,24.455,3
10,237.74,2.225,244.772,24.477,3
10,237.765,2.224,244.749,24.475,3
10,237.784,2.224,244.937,24.494,3
10,237.807,2.224,244.883,24.488,3
10,237.815,2.224,245.047,24.505,3
10,237.827,2.225,245.18,24.518,3
10,237.844,2.226,245.278,24.528,3
10,237.86,2.228,245.563,24.556,3
10,237.864,2.229,245.6,24.56,3
10,237.852,2.229,245.63,24.563,3
10,237.815,2.229,245.645,24.564,3
10,237.771,2.23,245.862,24.586,3
10,237.717,2.23,246.049,24.605,3
10,237.661,2.229,246.006,24.601,3
10,237.622,2.229,245.951,24.595,3
10,237.608,2.229,245.895,24.59,3
10,237.602,2.228,246.066,24.607,3
10,237.606,2.228,246.019,24.602,3
10,237.628,2.227,245.972,24.597,3
10,237.644,2.226,245.943,24.594,3
10,237.661,2.225,245.714,24.571,3
10,237.657,2.225,245.506,24.551,3
10,237.635,2.224,245.554,24.555,3
10,237.589,2.224,245.397,24.54,3
10,237.542,2.223,245.269,24.527,3
10,237.489,2.221,245.165,24.517,3
10,237.437,2.22,244.863,24.486,3
10,237.387,2.22,244.825,24.482,3
10,237.35,2.221,244.803,24.48,3
10,237.332,2.22,244.785,24.479,3
10,237.327,2.219,244.771,24.477,3
10,237.329,2.218,244.553,24.455,3
10,237.34,2.219,244.767,24.477,3
10,237.35,2.22,244.756,24.476,3
10,237.356,2.22,244.737,24.474,3
10,237.344,2.221,244.711,24.471,3
10,237.338,2.221,244.699,24.47,3
10,237.343,2.22,244.68,24.468,3
10,237.367,2.221,244.891,24.489,3
10,237.393,2.221,244.846,24.485,3
10,237.41,2.22,244.8,24.48,3
10,237.427,2.219,244.773,24.477,3
10,237.429,2.217,244.544,24.454,3
10,237.417,2.216,244.554,24.455,3
10,237.413,2.217,244.778,24.478,3
10,237.405,2.218,244.765,24.476,3
10,237.39,2.218,244.734,24.473,3
10,237.382,2.218,244.925,24.492,3
10,237.354,2.219,244.895,24.489,3
10,237.339,2.22,244.849,24.485,3
10,237.38,2.221,244.997,24.5,3
10,237.44,2.22,245.129,24.513,3
10,237.486,2.22,245.03,24.503,3
10,237.525,2.22,245.166,24.517,3
10,237.582,2.221,245.287,24.529,3
10,237.646,2.221,245.375,24.538,3
10,237.707,2.22,245.447,24.545,3
10,237.758,2.221,245.515,24.551,3
10,237.802,2.222,245.571,24.557,3
10,237.81,2.222,245.4,24.54,3
10,237.799,2.223,245.457,24.546,3
10,237.773,2.224,245.504,24.55,3
10,237.72,2.224,245.345,24.535,3
10,237.658,2.224,245.423,24.542,3
10,237.594,2.224,245.279,24.528,3
10,237.543,2.225,245.359,24.536,3
10,237.503,2.225,245.423,24.542,3
10,237.469,2.225,245.476,24.548,3
10,237.453,2.224,245.333,24.533,3
10,237.438,2.224,245.488,24.549,4
10,237.386,2.223,245.518,24.552,4
10,237.335,2.222,245.553,24.555,4
10,237.294,2.222,245.592,24.559,4
10,237.268,2.223,245.634,24.563,4
10,237.259,2.223,245.462,24.546,4
10,237.265,2.222,245.322,24.532,4
10,237.278,2.223,245.002,24.5,4
10,237.296,2.225,244.916,24.492,4
10,237.307,2.227,245.063,24.506,4
10,237.32,2.228,244.997,24.5,4
10,237.32,2.228,244.727,24.473,4
10,237.337,2.227,244.702,24.47,4
10,237.348,2.225,244.683,24.468,4
10,237.335,2.223,244.656,24.466,4
10,237.316,2.223,244.851,24.485,4
10,237.297,2.22,244.618,24.462,4
10,237.275,2.219,244.429,24.443,4
10,237.246,2.217,244.264,24.426,4
10,237.228,2.216,244.325,24.432,4
10,237.2,2.216,244.376,24.438,4
10,237.173,2.215,244.427,24.443,4
10,237.157,2.214,244.263,24.426,4
10,237.146,2.214,244.325,24.432,4
10,237.142,2.213,244.179,24.418,4
10,237.145,2.214,244.267,24.427,4
10,237.148,2.214,244.339,24.434,4
10,237.149,2.213,244.201,24.42,4
10,237.153,2.212,244.078,24.408,4
10,237.16,2.213,244.195,24.419,4
10,237.158,2.213,244.084,24.408,4
10,237.164,2.213,244.19,24.419,4
10,237.173,2.213,244.276,24.428,4
10,237.186,2.213,244.15,24.415,4
10,237.202,2.213,244.232,24.423,4
10,237.222,2.214,244.516,24.452,4
10,237.246,2.216,244.552,24.455,4
10,237.273,2.217,244.56,24.456,4
10,237.294,2.217,244.578,24.458,4
10,237.314,2.217,244.612,24.461,4
10,237.343,2.217,244.619,24.462,4
10,237.377,2.219,244.821,24.482,4
10,237.41,2.221,244.985,24.498,4
10,237.441,2.221,244.934,24.493,4
10,237.478,2.222,245.088,24.509,4
10,237.514,2.222,245.017,24.502,4
10,237.566,2.222,245.155,24.516,4
10,237.612,2.223,245.278,24.528,4
