RMS Current (A),RMS Voltage (V),PF,Power(KW),Power (W),%Power/Nominal_Power,Label,Class,Time
2.182,237.187,0.435,0.232,231.728,23.173,1,1,"04/30/2021, 17:00:05"
2.181,237.153,0.436,0.232,231.636,23.164,1,1,"04/30/2021, 17:00:06"
2.179,237.106,0.436,0.232,231.643,23.164,1,1,"04/30/2021, 17:00:07"
2.178,237.065,0.436,0.232,231.588,23.159,1,1,"04/30/2021, 17:00:08"
2.177,237.033,0.436,0.232,231.662,23.166,1,1,"04/30/2021, 17:00:09"
2.176,237.027,0.436,0.232,231.664,23.166,1,1,"04/30/2021, 17:00:10"
2.175,237.013,0.436,0.231,231.622,23.162,1,1,"04/30/2021, 17:00:11"
2.173,237.008,0.437,0.232,231.654,23.165,1,1,"04/30/2021, 17:00:12"
2.172,237.003,0.437,0.232,231.676,23.168,1,1,"04/30/2021, 17:00:13"
2.172,236.998,0.437,0.232,231.676,23.168,1,1,"04/30/2021, 17:00:14"
2.17,236.985,0.437,0.232,231.675,23.168,1,1,"04/30/2021, 17:00:15"
2.17,236.971,0.437,0.232,231.57,23.157,1,1,"04/30/2021, 17:00:16"
2.171,236.979,0.437,0.232,231.566,23.157,1,1,"04/30/2021, 17:00:17"
2.173,237.006,0.437,0.232,231.582,23.158,1,1,"04/30/2021, 17:00:18"
2.173,237.04,0.437,0.232,231.595,23.16,1,1,"04/30/2021, 17:00:19"
2.173,237.085,0.437,0.232,231.564,23.156,1,1,"04/30/2021, 17:00:20"
2.174,237.123,0.437,0.232,231.546,23.155,1,1,"04/30/2021, 17:00:21"
2.174,237.158,0.437,0.231,231.465,23.146,1,1,"04/30/2021, 17:00:22"
2.174,237.176,0.436,0.231,231.396,23.14,1,1,"04/30/2021, 17:00:23"
2.174,237.163,0.436,0.231,231.328,23.133,1,1,"04/30/2021, 17:00:24"
2.174,237.121,0.436,0.231,231.267,23.127,1,1,"04/30/2021, 17:00:25"
2.173,237.066,0.436,0.231,231.261,23.126,1,1,"04/30/2021, 17:00:26"
2.172,237.034,0.437,0.231,231.333,23.133,1,1,"04/30/2021, 17:00:27"
2.172,237.013,0.437,0.232,231.496,23.15,1,1,"04/30/2021, 17:00:28"
2.173,237.017,0.437,0.232,231.547,23.155,1,1,"04/30/2021, 17:00:29"
2.175,237.04,0.436,0.232,231.612,23.161,1,1,"04/30/2021, 17:00:30"
2.177,237.08,0.436,0.232,231.761,23.176,1,1,"04/30/2021, 17:00:31"
2.179,237.132,0.436,0.232,231.84,23.184,1,1,"04/30/2021, 17:00:32"
2.18,237.178,0.436,0.232,231.848,23.185,1,1,"04/30/2021, 17:00:33"
2.18,237.227,0.436,0.232,231.832,23.183,1,1,"04/30/2021, 17:00:34"
2.181,237.277,0.436,0.232,231.861,23.186,1,1,"04/30/2021, 17:00:35"
2.18,237.32,0.436,0.232,231.826,23.183,1,1,"04/30/2021, 17:00:36"
2.18,237.349,0.436,0.232,231.798,23.18,1,1,"04/30/2021, 17:00:37"
2.18,237.378,0.436,0.232,231.816,23.182,1,1,"04/30/2021, 17:00:38"
2.182,237.401,0.436,0.232,231.787,23.179,1,1,"04/30/2021, 17:00:39"
2.182,237.414,0.436,0.232,231.904,23.19,1,1,"04/30/2021, 17:00:40"
2.182,237.398,0.435,0.232,231.775,23.178,1,1,"04/30/2021, 17:00:41"
2.182,237.366,0.436,0.232,231.692,23.169,1,1,"04/30/2021, 17:00:42"
2.181,237.355,0.435,0.231,231.607,23.161,1,1,"04/30/2021, 17:00:43"
2.183,237.335,0.435,0.232,231.538,23.154,1,1,"04/30/2021, 17:00:44"
2.182,237.305,0.435,0.232,231.559,23.156,1,1,"04/30/2021, 17:00:45"
2.18,237.277,0.436,0.232,231.535,23.153,1,1,"04/30/2021, 17:00:46"
2.179,237.242,0.436,0.232,231.461,23.146,1,1,"04/30/2021, 17:00:47"
2.179,237.183,0.436,0.232,231.559,23.156,1,1,"04/30/2021, 17:00:48"
2.179,237.115,0.436,0.232,231.58,23.158,1,1,"04/30/2021, 17:00:49"
2.178,237.065,0.436,0.232,231.597,23.16,1,1,"04/30/2021, 17:00:50"
2.178,237.018,0.436,0.232,231.611,23.161,1,1,"04/30/2021, 17:00:51"
2.178,237.01,0.436,0.231,231.579,23.158,1,1,"04/30/2021, 17:00:52"
2.178,237.038,0.436,0.232,231.619,23.162,1,1,"04/30/2021, 17:00:53"
2.179,237.087,0.436,0.232,231.725,23.172,1,1,"04/30/2021, 17:00:54"
2.179,237.158,0.436,0.232,231.815,23.181,1,1,"04/30/2021, 17:00:55"
2.178,237.229,0.436,0.232,231.807,23.181,1,1,"04/30/2021, 17:00:56"
2.177,237.295,0.437,0.232,231.859,23.186,1,1,"04/30/2021, 17:00:57"
2.176,237.358,0.436,0.232,231.82,23.182,1,1,"04/30/2021, 17:00:58"
2.176,237.385,0.437,0.232,231.893,23.189,1,1,"04/30/2021, 17:00:59"
2.176,237.396,0.437,0.232,231.912,23.191,1,1,"04/30/2021, 17:01:00"
2.176,237.383,0.437,0.232,232.005,23.2,1,1,"04/30/2021, 17:01:01"
2.176,237.346,0.437,0.232,232.039,23.204,1,1,"04/30/2021, 17:01:02"
2.176,237.278,0.437,0.232,232.028,23.203,1,1,"04/30/2021, 17:01:03"
2.175,237.2,0.437,0.232,231.858,23.186,1,1,"04/30/2021, 17:01:04"
2.177,237.144,0.436,0.232,231.786,23.179,1,1,"04/30/2021, 17:01:05"
2.179,237.103,0.436,0.232,231.765,23.177,1,1,"04/30/2021, 17:01:06"
2.181,237.095,0.436,0.232,231.747,23.175,1,1,"04/30/2021, 17:01:07"
2.183,237.099,0.435,0.232,231.629,23.163,1,1,"04/30/2021, 17:01:08"
2.184,237.107,0.434,0.231,231.495,23.149,1,1,"04/30/2021, 17:01:09"
2.182,237.16,0.435,0.232,231.489,23.149,1,1,"04/30/2021, 17:01:10"
2.181,237.204,0.436,0.232,231.6,23.16,1,1,"04/30/2021, 17:01:11"
2.18,237.224,0.436,0.232,231.691,23.169,1,1,"04/30/2021, 17:01:12"
2.18,237.229,0.436,0.232,231.787,23.179,1,1,"04/30/2021, 17:01:13"
2.179,237.24,0.436,0.232,231.826,23.183,1,1,"04/30/2021, 17:01:14"
2.179,237.226,0.436,0.232,231.831,23.183,1,1,"04/30/2021, 17:01:15"
2.178,237.202,0.436,0.232,231.797,23.18,1,1,"04/30/2021, 17:01:16"
2.177,237.168,0.436,0.232,231.734,23.173,1,1,"04/30/2021, 17:01:17"
2.178,237.146,0.436,0.232,231.72,23.172,1,1,"04/30/2021, 17:01:18"
2.179,237.148,0.436,0.232,231.746,23.175,1,1,"04/30/2021, 17:01:19"
2.179,237.165,0.436,0.232,231.832,23.183,1,1,"04/30/2021, 17:01:20"
2.179,237.177,0.436,0.232,231.862,23.186,1,1,"04/30/2021, 17:01:21"
2.179,237.202,0.436,0.232,231.861,23.186,1,1,"04/30/2021, 17:01:22"
2.179,237.228,0.436,0.232,231.967,23.197,1,1,"04/30/2021, 17:01:23"
2.179,237.257,0.436,0.232,231.929,23.193,1,1,"04/30/2021, 17:01:24"
2.18,237.28,0.436,0.232,231.915,23.191,1,1,"04/30/2021, 17:01:25"
2.18,237.305,0.436,0.232,231.97,23.197,1,1,"04/30/2021, 17:01:26"
2.18,237.324,0.436,0.232,231.969,23.197,1,1,"04/30/2021, 17:01:27"
2.181,237.351,0.436,0.232,231.953,23.195,1,1,"04/30/2021, 17:01:28"
2.181,237.363,0.436,0.232,231.958,23.196,1,1,"04/30/2021, 17:01:29"
2.18,237.379,0.436,0.232,231.842,23.184,1,1,"04/30/2021, 17:01:30"
2.18,237.395,0.435,0.232,231.806,23.181,1,1,"04/30/2021, 17:01:31"
2.18,237.404,0.435,0.232,231.778,23.178,1,1,"04/30/2021, 17:01:32"
2.18,237.405,0.436,0.232,231.713,23.171,1,1,"04/30/2021, 17:01:33"
2.18,237.397,0.436,0.232,231.703,23.17,1,1,"04/30/2021, 17:01:34"
2.182,237.389,0.435,0.232,231.736,23.174,1,1,"04/30/2021, 17:01:35"
2.184,237.378,0.435,0.232,231.764,23.176,1,1,"04/30/2021, 17:01:36"
2.184,237.375,0.435,0.232,231.824,23.182,1,1,"04/30/2021, 17:01:37"
2.183,237.408,0.435,0.232,231.837,23.184,1,1,"04/30/2021, 17:01:38"
2.181,237.447,0.436,0.232,231.804,23.18,1,1,"04/30/2021, 17:01:39"
2.179,237.482,0.436,0.232,231.773,23.177,1,1,"04/30/2021, 17:01:40"
2.18,237.511,0.436,0.232,231.716,23.172,1,1,"04/30/2021, 17:01:41"
2.18,237.51,0.436,0.232,231.785,23.178,1,1,"04/30/2021, 17:01:42"
2.18,237.504,0.436,0.232,231.76,23.176,1,1,"04/30/2021, 17:01:43"
2.179,237.489,0.436,0.232,231.844,23.184,1,1,"04/30/2021, 17:01:44"
2.178,237.456,0.436,0.232,231.83,23.183,1,1,"04/30/2021, 17:01:45"
2.178,237.418,0.436,0.232,231.842,23.184,1,1,"04/30/2021, 17:01:46"
2.178,237.384,0.436,0.232,231.845,23.184,1,1,"04/30/2021, 17:01:47"
2.178,237.338,0.436,0.232,231.809,23.181,1,1,"04/30/2021, 17:01:48"
2.178,237.288,0.436,0.232,231.779,23.178,1,1,"04/30/2021, 17:01:49"
2.178,237.251,0.436,0.232,231.755,23.175,1,1,"04/30/2021, 17:01:50"
2.178,237.215,0.436,0.232,231.736,23.174,1,1,"04/30/2021, 17:01:51"
2.177,237.202,0.436,0.232,231.72,23.172,1,1,"04/30/2021, 17:01:52"
2.177,237.21,0.436,0.232,231.671,23.167,1,1,"04/30/2021, 17:01:53"
2.177,237.191,0.436,0.232,231.669,23.167,1,1,"04/30/2021, 17:01:54"
2.178,237.203,0.436,0.232,231.704,23.17,1,1,"04/30/2021, 17:01:55"
2.178,237.225,0.436,0.232,231.694,23.169,1,1,"04/30/2021, 17:01:56"
2.178,237.248,0.437,0.232,231.729,23.173,1,1,"04/30/2021, 17:01:57"
2.179,237.277,0.436,0.232,231.796,23.18,1,1,"04/30/2021, 17:01:58"
2.18,237.311,0.436,0.232,231.809,23.181,1,1,"04/30/2021, 17:01:59"
2.182,237.359,0.436,0.232,231.823,23.182,1,1,"04/30/2021, 17:02:00"
2.184,237.396,0.436,0.232,231.895,23.19,1,1,"04/30/2021, 17:02:01"
2.186,237.434,0.436,0.232,231.956,23.196,1,1,"04/30/2021, 17:02:02"
2.187,237.474,0.435,0.232,232.103,23.21,1,1,"04/30/2021, 17:02:03"
2.188,237.496,0.435,0.232,232.223,23.222,1,1,"04/30/2021, 17:02:04"
2.189,237.513,0.435,0.232,232.418,23.242,1,1,"04/30/2021, 17:02:05"
2.188,237.505,0.435,0.232,232.479,23.248,1,1,"04/30/2021, 17:02:06"
2.187,237.487,0.435,0.232,232.348,23.235,1,1,"04/30/2021, 17:02:07"
2.185,237.47,0.436,0.232,232.343,23.234,1,1,"04/30/2021, 17:02:08"
2.184,237.456,0.436,0.232,232.235,23.224,1,1,"04/30/2021, 17:02:09"
2.182,237.477,0.436,0.232,232.086,23.209,1,1,"04/30/2021, 17:02:10"
2.181,237.485,0.436,0.232,231.986,23.199,1,1,"04/30/2021, 17:02:11"
2.182,237.478,0.436,0.232,231.847,23.185,1,1,"04/30/2021, 17:02:12"
2.183,237.469,0.435,0.232,231.71,23.171,1,1,"04/30/2021, 17:02:13"
2.183,237.459,0.435,0.231,231.56,23.156,1,1,"04/30/2021, 17:02:14"
2.184,237.449,0.435,0.231,231.5,23.15,1,1,"04/30/2021, 17:02:15"
2.184,237.429,0.435,0.232,231.45,23.145,1,1,"04/30/2021, 17:02:16"
2.185,237.403,0.434,0.231,231.387,23.139,1,1,"04/30/2021, 17:02:17"
2.188,237.373,0.434,0.231,231.418,23.142,1,1,"04/30/2021, 17:02:18"
2.19,237.336,0.434,0.231,231.384,23.138,1,1,"04/30/2021, 17:02:19"
2.189,237.333,0.434,0.231,231.514,23.151,1,1,"04/30/2021, 17:02:20"
2.188,237.343,0.434,0.231,231.6,23.16,1,1,"04/30/2021, 17:02:21"
2.187,237.349,0.435,0.232,231.655,23.166,1,1,"04/30/2021, 17:02:22"
2.186,237.381,0.434,0.232,231.677,23.168,1,1,"04/30/2021, 17:02:23"
2.186,237.398,0.435,0.232,231.676,23.168,1,1,"04/30/2021, 17:02:24"
2.185,237.407,0.434,0.232,231.632,23.163,1,1,"04/30/2021, 17:02:25"
2.185,237.397,0.434,0.232,231.558,23.156,1,1,"04/30/2021, 17:02:26"
2.183,237.39,0.435,0.232,231.575,23.157,1,1,"04/30/2021, 17:02:27"
2.183,237.408,0.435,0.232,231.632,23.163,1,1,"04/30/2021, 17:02:28"
2.183,237.426,0.435,0.232,231.674,23.167,1,1,"04/30/2021, 17:02:29"
2.183,237.452,0.435,0.232,231.592,23.159,1,1,"04/30/2021, 17:02:30"
2.181,237.478,0.435,0.232,231.562,23.156,1,1,"04/30/2021, 17:02:31"
2.181,237.502,0.435,0.231,231.44,23.144,1,1,"04/30/2021, 17:02:32"
2.182,237.52,0.435,0.231,231.46,23.146,1,1,"04/30/2021, 17:02:33"
2.182,237.534,0.435,0.231,231.455,23.146,1,1,"04/30/2021, 17:02:34"
2.182,237.539,0.435,0.231,231.534,23.153,1,1,"04/30/2021, 17:02:35"
2.182,237.542,0.435,0.232,231.66,23.166,1,1,"04/30/2021, 17:02:36"
2.182,237.534,0.435,0.232,231.68,23.168,1,1,"04/30/2021, 17:02:37"
2.184,237.446,0.435,0.232,231.575,23.157,1,1,"04/30/2021, 17:02:38"
2.185,237.361,0.435,0.232,231.529,23.153,1,1,"04/30/2021, 17:02:39"
2.187,237.273,0.434,0.231,231.413,23.141,1,1,"04/30/2021, 17:02:40"
2.188,237.198,0.434,0.231,231.398,23.14,1,1,"04/30/2021, 17:02:41"
2.187,237.14,0.434,0.231,231.35,23.135,1,1,"04/30/2021, 17:02:42"
2.23,237.387,0.435,0.237,237.033,23.703,2,2,"04/30/2021, 17:08:45"
2.231,237.394,0.435,0.237,237.024,23.702,2,2,"04/30/2021, 17:08:46"
2.231,237.4,0.435,0.237,237.09,23.709,2,2,"04/30/2021, 17:08:47"
2.23,237.409,0.435,0.237,237.127,23.713,2,2,"04/30/2021, 17:08:48"
2.231,237.443,0.435,0.237,237.201,23.72,2,2,"04/30/2021, 17:08:49"
2.231,237.471,0.435,0.237,237.174,23.717,2,2,"04/30/2021, 17:08:50"
2.231,237.512,0.436,0.237,237.159,23.716,2,2,"04/30/2021, 17:08:51"
2.231,237.553,0.435,0.237,237.139,23.714,2,2,"04/30/2021, 17:08:52"
2.232,237.571,0.435,0.237,237.131,23.713,2,2,"04/30/2021, 17:08:53"
2.232,237.568,0.435,0.237,237.138,23.714,2,2,"04/30/2021, 17:08:54"
2.233,237.542,0.435,0.237,237.287,23.729,2,2,"04/30/2021, 17:08:55"
2.234,237.506,0.435,0.237,237.248,23.725,2,2,"04/30/2021, 17:08:56"
2.234,237.463,0.435,0.237,237.238,23.724,2,2,"04/30/2021, 17:08:57"
2.234,237.438,0.435,0.237,237.323,23.732,2,2,"04/30/2021, 17:08:58"
2.234,237.45,0.435,0.237,237.276,23.728,2,2,"04/30/2021, 17:08:59"
2.235,237.484,0.434,0.237,237.238,23.724,2,2,"04/30/2021, 17:09:00"
2.236,237.536,0.434,0.237,237.167,23.717,2,2,"04/30/2021, 17:09:01"
2.236,237.564,0.434,0.237,237.07,23.707,2,2,"04/30/2021, 17:09:02"
2.236,237.584,0.434,0.237,237.053,23.705,2,2,"04/30/2021, 17:09:03"
2.237,237.548,0.434,0.237,236.994,23.699,2,2,"04/30/2021, 17:09:04"
2.236,237.484,0.434,0.237,236.947,23.695,2,2,"04/30/2021, 17:09:05"
2.235,237.421,0.434,0.237,236.833,23.683,2,2,"04/30/2021, 17:09:06"
2.235,237.357,0.434,0.237,236.757,23.676,2,2,"04/30/2021, 17:09:07"
2.234,237.303,0.434,0.237,236.734,23.673,2,2,"04/30/2021, 17:09:08"
2.234,237.261,0.434,0.237,236.757,23.676,2,2,"04/30/2021, 17:09:09"
2.234,237.215,0.434,0.237,236.795,23.679,2,2,"04/30/2021, 17:09:10"
2.232,237.168,0.434,0.237,236.648,23.665,2,2,"04/30/2021, 17:09:11"
2.23,237.119,0.434,0.236,236.465,23.646,2,2,"04/30/2021, 17:09:12"
2.228,237.087,0.434,0.236,236.441,23.644,2,2,"04/30/2021, 17:09:13"
2.227,237.058,0.434,0.236,236.359,23.636,2,2,"04/30/2021, 17:09:14"
2.226,237.03,0.435,0.236,236.293,23.629,2,2,"04/30/2021, 17:09:15"
2.225,237.004,0.435,0.236,236.261,23.626,2,2,"04/30/2021, 17:09:16"
2.226,236.978,0.435,0.236,236.23,23.623,2,2,"04/30/2021, 17:09:17"
2.226,236.967,0.435,0.236,236.224,23.622,2,2,"04/30/2021, 17:09:18"
2.226,236.953,0.435,0.236,236.179,23.618,2,2,"04/30/2021, 17:09:19"
2.226,236.949,0.435,0.236,236.265,23.626,2,2,"04/30/2021, 17:09:20"
2.226,236.96,0.435,0.236,236.237,23.624,2,2,"04/30/2021, 17:09:21"
2.226,236.97,0.435,0.236,236.211,23.621,2,2,"04/30/2021, 17:09:22"
2.225,236.982,0.435,0.236,236.17,23.617,2,2,"04/30/2021, 17:09:23"
2.226,236.992,0.435,0.236,236.137,23.614,2,2,"04/30/2021, 17:09:24"
2.226,237.003,0.435,0.236,236.11,23.611,2,2,"04/30/2021, 17:09:25"
2.227,237.019,0.435,0.236,236.088,23.609,2,2,"04/30/2021, 17:09:26"
2.228,237.026,0.435,0.236,236.173,23.617,2,2,"04/30/2021, 17:09:27"
2.227,237.051,0.435,0.236,236.139,23.614,2,2,"04/30/2021, 17:09:28"
2.227,237.095,0.435,0.236,236.231,23.623,2,2,"04/30/2021, 17:09:29"
2.227,237.141,0.435,0.236,236.203,23.62,2,2,"04/30/2021, 17:09:30"
2.227,237.178,0.435,0.236,236.162,23.616,2,2,"04/30/2021, 17:09:31"
2.228,237.198,0.435,0.236,236.251,23.625,2,2,"04/30/2021, 17:09:32"
2.227,237.19,0.435,0.236,236.082,23.608,2,2,"04/30/2021, 17:09:33"
2.226,237.132,0.435,0.236,236.002,23.6,2,2,"04/30/2021, 17:09:34"
2.226,237.059,0.435,0.236,235.984,23.598,2,2,"04/30/2021, 17:09:35"
2.227,237.024,0.435,0.236,236.112,23.611,2,2,"04/30/2021, 17:09:36"
2.226,237.006,0.435,0.236,236.167,23.617,2,2,"04/30/2021, 17:09:37"
2.227,237.015,0.435,0.236,236.197,23.62,2,2,"04/30/2021, 17:09:38"
2.228,237.046,0.435,0.236,236.176,23.618,2,2,"04/30/2021, 17:09:39"
2.228,237.091,0.435,0.236,236.139,23.614,2,2,"04/30/2021, 17:09:40"
2.229,237.149,0.434,0.236,236.174,23.617,2,2,"04/30/2021, 17:09:41"
2.23,237.201,0.435,0.236,236.259,23.626,2,2,"04/30/2021, 17:09:42"
2.229,237.234,0.435,0.236,236.349,23.635,2,2,"04/30/2021, 17:09:43"
2.23,237.243,0.434,0.236,236.284,23.628,2,2,"04/30/2021, 17:09:44"
2.23,237.234,0.434,0.236,236.109,23.611,2,2,"04/30/2021, 17:09:45"
2.23,237.206,0.434,0.236,236.085,23.609,2,2,"04/30/2021, 17:09:46"
2.229,237.175,0.434,0.236,236.066,23.607,2,2,"04/30/2021, 17:09:47"
2.23,237.139,0.434,0.236,236.173,23.617,2,2,"04/30/2021, 17:09:48"
2.23,237.113,0.434,0.236,236.202,23.62,2,2,"04/30/2021, 17:09:49"
2.23,237.085,0.434,0.236,236.302,23.63,2,2,"04/30/2021, 17:09:50"
2.229,237.063,0.434,0.236,236.246,23.625,2,2,"04/30/2021, 17:09:51"
2.229,237.039,0.435,0.236,236.262,23.626,2,2,"04/30/2021, 17:09:52"
2.228,237.021,0.435,0.236,236.228,23.623,2,2,"04/30/2021, 17:09:53"
2.228,237.017,0.435,0.236,236.326,23.633,2,2,"04/30/2021, 17:09:54"
2.228,237.018,0.435,0.236,236.444,23.644,2,2,"04/30/2021, 17:09:55"
2.228,237.043,0.435,0.236,236.423,23.642,2,2,"04/30/2021, 17:09:56"
2.229,237.081,0.435,0.237,236.543,23.654,2,2,"04/30/2021, 17:09:57"
2.229,237.117,0.435,0.237,236.726,23.673,2,2,"04/30/2021, 17:09:58"
2.229,237.17,0.435,0.237,236.808,23.681,2,2,"04/30/2021, 17:09:59"
2.229,237.037,0.435,0.236,236.663,23.666,2,2,"04/30/2021, 17:10:00"
2.209,236.836,0.437,0.235,235.703,23.57,2,2,"04/30/2021, 17:10:01"
2.208,236.637,0.436,0.234,234.751,23.475,2,2,"04/30/2021, 17:10:02"
2.211,236.514,0.436,0.234,234.02,23.402,2,2,"04/30/2021, 17:10:03"
2.215,236.669,0.436,0.235,234.545,23.454,2,2,"04/30/2021, 17:10:04"
2.218,236.79,0.436,0.235,235.031,23.503,2,2,"04/30/2021, 17:10:05"
2.221,236.866,0.435,0.235,235.324,23.532,2,2,"04/30/2021, 17:10:06"
2.223,236.918,0.435,0.236,235.445,23.544,2,2,"04/30/2021, 17:10:07"
2.224,236.947,0.435,0.236,235.667,23.567,2,2,"04/30/2021, 17:10:08"
2.225,236.958,0.435,0.236,235.79,23.579,2,2,"04/30/2021, 17:10:09"
2.224,236.952,0.435,0.236,235.844,23.584,2,2,"04/30/2021, 17:10:10"
2.223,236.934,0.436,0.236,235.869,23.587,2,2,"04/30/2021, 17:10:11"
2.222,236.925,0.436,0.236,235.954,23.595,2,2,"04/30/2021, 17:10:12"
2.223,236.911,0.436,0.236,236.041,23.604,2,2,"04/30/2021, 17:10:13"
2.222,236.901,0.436,0.236,236.089,23.609,2,2,"04/30/2021, 17:10:14"
2.22,236.878,0.436,0.236,236.047,23.605,2,2,"04/30/2021, 17:10:15"
2.22,236.869,0.436,0.236,236.04,23.604,2,2,"04/30/2021, 17:10:16"
2.22,236.865,0.436,0.236,236.048,23.605,2,2,"04/30/2021, 17:10:17"
2.22,236.874,0.436,0.236,236.035,23.604,2,2,"04/30/2021, 17:10:18"
2.221,236.875,0.436,0.236,236.147,23.615,2,2,"04/30/2021, 17:10:19"
2.221,236.881,0.436,0.236,236.142,23.614,2,2,"04/30/2021, 17:10:20"
2.22,236.893,0.436,0.236,236.111,23.611,2,2,"04/30/2021, 17:10:21"
2.219,236.907,0.436,0.236,236.072,23.607,2,2,"04/30/2021, 17:10:22"
2.218,236.898,0.436,0.236,236.06,23.606,2,2,"04/30/2021, 17:10:23"
2.216,236.883,0.437,0.236,236.049,23.605,2,2,"04/30/2021, 17:10:24"
2.215,236.86,0.437,0.236,236.041,23.604,2,2,"04/30/2021, 17:10:25"
2.214,236.847,0.437,0.236,235.97,23.597,2,2,"04/30/2021, 17:10:26"
2.213,236.848,0.437,0.236,235.854,23.585,2,2,"04/30/2021, 17:10:27"
2.214,236.857,0.437,0.236,235.863,23.586,2,2,"04/30/2021, 17:10:28"
2.214,236.872,0.436,0.236,235.889,23.589,2,2,"04/30/2021, 17:10:29"
2.215,236.88,0.437,0.236,235.91,23.591,2,2,"04/30/2021, 17:10:30"
2.216,236.906,0.437,0.236,235.949,23.595,2,2,"04/30/2021, 17:10:31"
2.217,236.94,0.436,0.236,236.014,23.601,2,2,"04/30/2021, 17:10:32"
2.219,236.976,0.436,0.236,236.072,23.607,2,2,"04/30/2021, 17:10:33"
2.219,237.023,0.436,0.236,236.052,23.605,2,2,"04/30/2021, 17:10:34"
2.219,237.068,0.436,0.236,235.981,23.598,2,2,"04/30/2021, 17:10:35"
2.219,237.088,0.436,0.236,235.981,23.598,2,2,"04/30/2021, 17:10:36"
2.219,237.087,0.436,0.236,235.96,23.596,2,2,"04/30/2021, 17:10:37"
2.22,237.08,0.436,0.236,235.908,23.591,2,2,"04/30/2021, 17:10:38"
2.221,237.053,0.436,0.236,235.925,23.593,2,2,"04/30/2021, 17:10:39"
2.22,237.004,0.436,0.236,235.94,23.594,2,2,"04/30/2021, 17:10:40"
2.22,236.957,0.436,0.236,236.012,23.601,2,2,"04/30/2021, 17:10:41"
2.22,236.92,0.436,0.236,236.025,23.603,2,2,"04/30/2021, 17:10:42"
2.218,236.882,0.436,0.236,235.956,23.596,2,2,"04/30/2021, 17:10:43"
2.217,236.846,0.436,0.236,235.946,23.595,2,2,"04/30/2021, 17:10:44"
2.217,236.813,0.437,0.236,235.978,23.598,2,2,"04/30/2021, 17:10:45"
2.215,236.79,0.437,0.236,236.038,23.604,2,2,"04/30/2021, 17:10:46"
2.213,236.768,0.437,0.236,236.027,23.603,2,2,"04/30/2021, 17:10:47"
2.211,236.76,0.437,0.236,235.958,23.596,2,2,"04/30/2021, 17:10:48"
2.21,236.749,0.438,0.236,235.883,23.588,2,2,"04/30/2021, 17:10:49"
2.21,236.735,0.437,0.236,235.784,23.578,2,2,"04/30/2021, 17:10:50"
2.211,236.734,0.437,0.236,235.806,23.581,2,2,"04/30/2021, 17:10:51"
2.211,236.723,0.438,0.236,235.864,23.586,2,2,"04/30/2021, 17:10:52"
2.211,236.721,0.438,0.236,235.945,23.595,2,2,"04/30/2021, 17:10:53"
2.212,236.712,0.437,0.236,235.952,23.595,2,2,"04/30/2021, 17:10:54"
2.212,236.715,0.437,0.236,235.957,23.596,2,2,"04/30/2021, 17:10:55"
2.212,236.722,0.437,0.236,235.901,23.59,2,2,"04/30/2021, 17:10:56"
2.213,236.728,0.437,0.236,235.901,23.59,2,2,"04/30/2021, 17:10:57"
2.214,236.721,0.437,0.236,235.797,23.58,2,2,"04/30/2021, 17:10:58"
2.215,236.726,0.437,0.236,235.895,23.59,2,2,"04/30/2021, 17:10:59"
2.216,236.734,0.437,0.236,235.972,23.597,2,2,"04/30/2021, 17:11:00"
2.217,236.741,0.437,0.236,236.038,23.604,2,2,"04/30/2021, 17:11:01"
2.217,236.743,0.437,0.236,236.11,23.611,2,2,"04/30/2021, 17:11:02"
2.218,236.742,0.437,0.236,236.168,23.617,2,2,"04/30/2021, 17:11:03"
2.218,236.742,0.437,0.236,236.193,23.619,2,2,"04/30/2021, 17:11:04"
2.216,236.751,0.437,0.236,236.093,23.609,2,2,"04/30/2021, 17:11:05"
2.215,236.728,0.437,0.236,236.058,23.606,2,2,"04/30/2021, 17:11:06"
2.213,236.696,0.437,0.236,235.903,23.59,2,2,"04/30/2021, 17:11:07"
2.213,236.682,0.437,0.236,235.862,23.586,2,2,"04/30/2021, 17:11:08"
2.211,236.672,0.437,0.236,235.744,23.574,2,2,"04/30/2021, 17:11:09"
2.209,236.655,0.437,0.235,235.588,23.559,2,2,"04/30/2021, 17:11:10"
2.21,236.645,0.437,0.236,235.605,23.56,2,2,"04/30/2021, 17:11:11"
2.209,236.635,0.437,0.235,235.535,23.553,2,2,"04/30/2021, 17:11:12"
2.21,236.618,0.438,0.236,235.562,23.556,2,2,"04/30/2021, 17:11:13"
2.209,236.609,0.437,0.235,235.499,23.55,2,2,"04/30/2021, 17:11:14"
2.212,236.604,0.437,0.236,235.533,23.553,2,2,"04/30/2021, 17:11:15"
2.215,236.626,0.437,0.236,235.556,23.556,2,2,"04/30/2021, 17:11:16"
2.216,236.664,0.437,0.236,235.578,23.558,2,2,"04/30/2021, 17:11:17"
2.217,236.71,0.437,0.236,235.653,23.565,2,2,"04/30/2021, 17:11:18"
2.216,236.781,0.437,0.236,235.692,23.569,2,2,"04/30/2021, 17:11:19"
2.216,236.854,0.437,0.236,235.729,23.573,2,2,"04/30/2021, 17:11:20"
2.214,236.909,0.437,0.236,235.674,23.567,2,2,"04/30/2021, 17:11:21"
2.213,236.926,0.438,0.236,235.675,23.568,2,2,"04/30/2021, 17:11:22"
